Astrocyte,B cells,Endothelial cells,Fibroblasts,Macrophage,Microglia,Monocyte DC,Mural cells,Neuron,Neutrophil,NK,Oligodendrocytes,OPC,T cells,Naive T cells
Mt3,Igkc,Ly6c1,Col1a2,Lyz2,Cst3,H2-Ab1,Vtn,Tubb2b,S100a9,Ccl5,Plp1,Ptprz1,Ccl5,Satb1
Clu,Ighm,Flt1,Efemp1,Pf4,Hexb,H2-Aa,Rgs5,Sox11,S100a8,Il2rb,Apod,Pdgfra,Cd3g,Rpl12
Slc1a2,Cd79a,Cldn5,Rbp1,Apoe,C1qa,H2-Eb1,Acta2,Meg3,Retnlg,Vps37b,Ptgds,Lhfpl3,Trbc2,Rps24
Rarres2,Ebf1,Ctla2a,Fstl1,Thbs1,C1qb,Cd74,Tagln,Meis2,Cxcl2,Prf1,Cldn11,Cntn1,Gzma,Rps20
Tmem212,Ly6d,Slc2a1,Col6a1,Ccl2,C1qc,H2-DMb1,Cald1,Rtn1,Ngp,Klrd1,Mbp,Tnr,Nkg7,Rps19
Dbi,Vpreb3,Ly6a,Col1a1,Ccl7,Cx3cr1,H2-DMa,Myl9,Stmn2,Il1b,Klrk1,Dbndd2,Chst2,Cd3d,Rps16
Atp1a2,Iglc2,Igfbp7,Dcn,Mrc1,Ctss,Tnip3,Myh11,Sox4,Clec4e,Klrb1c,Mag,Opcml,AW112010,Rps27
Ccdc153,Cd79b,Itm2a,Timp1,Chil3,Trem2,Napsa,Mylk,Ccnd2,Wfdc21,Klre1,Aplp1,Cspg5,Cd52,Rpl8
Nnat,Cd74,Pglyrp1,Mgp,Arg1,Csf1r,Plbd1,Sparcl1,Igfbpl1,Lcn2,AW112010,Cnp,Cacng4,Ms4a4b,Rps7
Ntrk2,Ccr7,Adgrl4,Igfbp5,F13a1,Ctsd,Gm2a,Gm13889,Nfib,Acod1,Nkg7,Cryab,Sema3d,Cd8b1,Rpl17
Chchd10,Mzb1,Ptprb,Col3a1,Tgfbi,Ccl4,Ifi30,Tpm2,Pbx1,Il1r2,Ugcg,Mobp,Matn4,S100a4,Rps18
Cpe,Iglc3,Bsg,Bzw1,Lgals3,Fcrls,Cd209a,Rgs4,Nrxn3,G0s2,Txk,Scd2,Vcan,Hcst,Rps10
Slc1a3,Ms4a1,Spock2,Prg4,Ccl6,Lgmn,Crip1,Pdgfrb,Tubb5,S100a11,Serpinb6b,Mal,Nrxn1,Gzmb,Rpl19
Gpr37l1,Ighd,Id1,Bgn,Ms4a6c,Tmem119,Klrb1b,Tpm1,Dcx,AA467197,Serpinb9,Ermn,Usp24,H2-Q7,Rps21
Syne1,Rps20,Akap12,Col6a2,Ifi207,P2ry12,Sh3bgrl3,Igfbp7,Dlx6os1,Mxd1,Ncr1,Car2,Scrg1,Ifi27l2a,Tcf7
Aldoc,Fcmr,Cxcl12,Col12a1,Wfdc17,Atf3,Ccl17,Mfge8,Map1b,Cxcl3,Gzma,Tspan2,Neu4,Trac,Rps15a
Mia,Rps19,Tmem252,Mpzl2,Hmox1,Ly86,Etv3,Notch3,Nnat,Tnfaip2,Klra9,Trf,Cspg4,Trbc1,Rplp0
