,0
0,SDF4
1,GNB1
2,RPL22
3,CAMTA1
4,PARK7
5,ENO1
6,KAZN
7,EIF4G3
8,RPL11
9,SRSF10
10,SH3BGRL3
11,NDUFS5
12,YBX1
13,RPS8
14,PRDX1
15,NFIA
16,SERBP1
17,HFM1
18,RPL5
19,CNN3
20,S100A10
21,S100A11
22,S100A6
23,RPS27
24,UBE2Q1
25,CD48
26,PBX1
27,ATF3
28,H3-3A
29,RPS7
30,ID2
31,ZFP36L2
32,SPTBN1
33,RPS27A
34,XPO1
35,PCBP1
36,TMSB10
37,RNF149
38,IL1R2
39,FN1
40,RPL37A
41,NCL
42,PTMA
43,UBE2F
44,RPL32
45,ANKRD28
46,RPL15
47,RPSA
48,RPL14
49,RPL29
50,RPL24
51,ZBTB20
52,CDV3
53,TM4SF1
54,MED12L
55,LINC01322
56,SEC62
57,FNDC3B
58,EIF4G1
59,RPL35A
60,SORCS2
61,RPL9
62,ABRAXAS1
63,SPP1
64,H2AZ1
65,RPL34
66,RPS3A
67,TNPO1
68,RPS23
69,CDC42SE2
70,UBE2B
71,FAM13B
72,PURA
73,NDUFA2
74,RPS14
75,NPM1
76,DUSP1
77,RACK1
78,DEK
79,HLA-B
80,CLIC1
81,HLA-DRA
82,RPS18
83,RPS10
84,RPL10A
85,HSP90AB1
86,DST
87,EEF1A1
88,ATG5
89,FYN
90,MARCKS
91,LAMA2
92,EPB41L2
93,RPS12
94,BCLAF1
95,CITED2
96,ACTB
97,GLCCI1
98,CHCHD2
99,TMEM243
100,ARPC1A
101,EFCAB10
102,CADPS2
103,TBXAS1
104,KMT2C
105,SLCO5A1
106,RPL7
107,UQCRB
108,RPL30
109,COX6C
110,YWHAZ
111,RPL8
112,RIC1
113,RPS6
114,PAX5
115,GCNT1
116,FAM120A
117,SEC61B
118,KLF4
119,RPL35
120,RPL12
121,RPL7A
122,CELF2
123,CAMK1D
124,MLLT10
125,JMJD1C
126,RPS24
127,PDLIM1
128,ABLIM1
129,RPLP2
130,LMO1
131,RPS13
132,ENSG00000246225
133,CPSF7
134,FTH1
135,EEF1G
136,FAU
137,MALAT1
138,CFL1
139,KDM2A
140,RPS3
141,AAMDC
142,DLG2
143,ATP5MG
144,GAPDH
145,TMBIM6
146,KRT8
147,KRT18
148,PCBP2
149,ATP5MC2
150,CD63
151,RPL41
152,MYL6
153,NACA
154,LINC01619
155,BTG1
156,HSP90B1
157,ARPC3
158,RPL6
159,RPLP0
160,COX6A1
161,DYNLL1
162,UBC
163,RPL21
164,TPT1
165,ITM2B
166,FNDC3A
167,NOVA1
168,NFKBIA
169,ARF6
170,RBM25
171,FOS
172,NGB
173,FOXN3
174,IFI27
175,PAPOLA
176,HSP90AA1
177,EIF5
178,CHP1
179,SERF2
180,B2M
181,ADAM10
182,RPL4
183,RPLP1
184,SCAPER
185,MORF4L1
186,RPS2
187,SRRM2
188,RPS15A
189,MAZ
190,ENSG00000260573
191,CHD9
192,MT2A
193,GLG1
194,WWOX
195,ANKRD11
196,RPL13
197,PSMB6
198,RPL26
199,RPL23A
200,UNC45B
201,CCL5
202,CCL4
203,RPL23
204,RPL19
205,EIF1
206,RAB5C
207,RPL27
208,COL1A1
209,H3-3B
210,SRSF2
